table_schema|table_name                   |column_name                  |data_type                  |is_nullable|column_default                           |
public      |review_ai_analysis           |analyzed_at                  |timestamp with time zone   |NO         |now()                                    |
public      |review_ratings               |id                           |uuid                       |NO         |uuid_generate_v4()                       |
public      |review_ratings               |review_id                    |uuid                       |NO         |                                         |
public      |review_ratings               |category                     |character varying          |NO         |                                         |
public      |review_ratings               |score                        |numeric                    |NO         |                                         |
public      |review_skill_tags            |id                           |uuid                       |NO         |uuid_generate_v4()                       |
public      |review_skill_tags            |review_id                    |uuid                       |NO         |                                         |
public      |review_skill_tags            |skill_tag                    |character varying          |NO         |                                         |
public      |review_skill_tags            |is_ai_suggested              |boolean                    |NO         |false                                    |
public      |review_written_content       |id                           |uuid                       |NO         |uuid_generate_v4()                       |
public      |review_written_content       |review_id                    |uuid                       |NO         |                                         |
public      |review_written_content       |ai_question                  |text                       |YES        |                                         |
public      |review_written_content       |client_answer                |text                       |YES        |                                         |
public      |review_written_content       |overall_comment              |text                       |YES        |                                         |
public      |reviews                      |id                           |uuid                       |NO         |uuid_generate_v4()                       |
public      |reviews                      |contract_id                  |uuid                       |NO         |                                         |
public      |reviews                      |reviewer_id                  |uuid                       |NO         |                                         |
public      |reviews                      |freelancer_id                |uuid                       |NO         |                                         |
public      |reviews                      |inferred_category            |character varying          |NO         |'general'::character varying             |
public      |reviews                      |status                       |USER-DEFINED               |NO         |'pending'::review_status                 |
public      |reviews                      |is_anonymous                 |boolean                    |NO         |false                                    |
public      |reviews                      |created_at                   |timestamp with time zone   |NO         |now()                                    |
public      |reviews                      |published_at                 |timestamp with time zone   |YES        |                                         |
public      |saved_job                    |saved_job_id                 |uuid                       |NO         |gen_random_uuid()                        |
public      |saved_job                    |freelancer_id                |uuid                       |NO         |                                         |
public      |saved_job                    |job_post_id                  |uuid                       |NO         |                                         |
public      |saved_job                    |saved_at                     |timestamp without time zone|YES        |now()                                    |
public      |saved_job                    |notes                        |text                       |YES        |                                         |
public      |scam_job_flags               |flag_id                      |uuid                       |NO         |gen_random_uuid()                        |
public      |scam_job_flags               |job_post_id                  |uuid                       |NO         |                                         |
public      |scam_job_flags               |client_id                    |uuid                       |NO         |                                         |
public      |scam_job_flags               |scam_score                   |double precision           |NO         |                                         |
public      |scam_job_flags               |detected_keywords            |jsonb                      |NO         |'[]'::jsonb                              |
public      |scam_job_flags               |flagged_text                 |text                       |YES        |                                         |
public      |scam_job_flags               |status                       |text                       |NO         |'pending'::text                          |
public      |scam_job_flags               |admin_user_id                |uuid                       |YES        |                                         |
public      |scam_job_flags               |admin_note                   |text                       |YES        |                                         |
public      |scam_job_flags               |actioned_at                  |timestamp without time zone|YES        |                                         |
public      |scam_job_flags               |auto_remove_at               |timestamp without time zone|NO         |                                         |
public      |scam_job_flags               |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |scam_job_flags               |auto_closed                  |boolean                    |NO         |true                                     |
public      |skill                        |skill_id                     |uuid                       |NO         |gen_random_uuid()                        |
public      |skill                        |skill_name                   |character varying          |NO         |                                         |
public      |skill                        |skill_category               |USER-DEFINED               |YES        |                                         |
public      |skill                        |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |skill                        |search_tokens                |text                       |YES        |                                         |
public      |testing_table                |id                           |integer                    |NO         |nextval('testing_table_id_seq'::regclass)|
public      |testing_table                |description                  |text                       |YES        |                                         |
public      |toxicity_queue               |moderation_id                |uuid                       |NO         |gen_random_uuid()                        |
public      |toxicity_queue               |content_type                 |text                       |NO         |                                         |
public      |toxicity_queue               |content_id                   |uuid                       |NO         |                                         |
public      |toxicity_queue               |user_id                      |uuid                       |NO         |                                         |
public      |toxicity_queue               |toxic_score                  |double precision           |NO         |0                                        |
public      |toxicity_queue               |obscene_score                |double precision           |NO         |0                                        |
public      |toxicity_queue               |threat_score                 |double precision           |NO         |0                                        |
public      |toxicity_queue               |insult_score                 |double precision           |NO         |0                                        |
public      |toxicity_queue               |identity_hate_score          |double precision           |NO         |0                                        |
public      |toxicity_queue               |detected_labels              |jsonb                      |NO         |'[]'::jsonb                              |
public      |toxicity_queue               |flagged_text                 |text                       |YES        |                                         |
public      |toxicity_queue               |status                       |text                       |NO         |'pending'::text                          |
public      |toxicity_queue               |admin_user_id                |uuid                       |YES        |                                         |
public      |toxicity_queue               |admin_note                   |text                       |YES        |                                         |
public      |toxicity_queue               |actioned_at                  |timestamp without time zone|YES        |                                         |
public      |toxicity_queue               |auto_approve_at              |timestamp without time zone|NO         |                                         |
public      |toxicity_queue               |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |trust_score_history          |id                           |uuid                       |NO         |uuid_generate_v4()                       |
public      |trust_score_history          |freelancer_id                |uuid                       |NO         |                                         |
public      |trust_score_history          |overall_score                |numeric                    |NO         |                                         |
public      |trust_score_history          |snapshot_reason              |USER-DEFINED               |NO         |'review_published'::trust_snapshot_reason|
public      |trust_score_history          |recorded_at                  |timestamp with time zone   |NO         |now()                                    |
public      |user_oauth_providers         |id                           |uuid                       |NO         |gen_random_uuid()                        |
public      |user_oauth_providers         |user_id                      |uuid                       |NO         |                                         |
public      |user_oauth_providers         |provider                     |character varying          |NO         |                                         |
public      |user_oauth_providers         |provider_user_id             |character varying          |NO         |                                         |
public      |user_oauth_providers         |provider_email               |character varying          |YES        |                                         |
public      |user_oauth_providers         |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |user_reports                 |report_id                    |uuid                       |NO         |gen_random_uuid()                        |
public      |user_reports                 |reporter_id                  |uuid                       |NO         |                                         |
public      |user_reports                 |reported_user_id             |uuid                       |YES        |                                         |
public      |user_reports                 |reported_type                |text                       |NO         |                                         |
public      |user_reports                 |reasons                      |jsonb                      |NO         |'[]'::jsonb                              |
public      |user_reports                 |custom_reason                |text                       |YES        |                                         |
public      |user_reports                 |status                       |text                       |NO         |'pending'::text                          |
public      |user_reports                 |admin_user_id                |uuid                       |YES        |                                         |
public      |user_reports                 |admin_note                   |text                       |YES        |                                         |
public      |user_reports                 |actioned_at                  |timestamp without time zone|YES        |                                         |
public      |user_reports                 |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |user_reports                 |job_post_id                  |uuid                       |YES        |                                         |
public      |users                        |user_id                      |uuid                       |NO         |gen_random_uuid()                        |
public      |users                        |email                        |character varying          |NO         |                                         |
public      |users                        |password                     |character varying          |NO         |                                         |
public      |users                        |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |users                        |updated_at                   |timestamp without time zone|YES        |now()                                    |
public      |users                        |email_verified               |boolean                    |NO         |false                                    |
public      |users                        |email_verified_at            |timestamp without time zone|YES        |                                         |
public      |users                        |is_admin                     |boolean                    |NO         |false                                    |
public      |users                        |is_report_banned             |boolean                    |NO         |false                                    |
public      |users                        |report_banned_at             |timestamp without time zone|YES        |                                         |
public      |users                        |ban_reason                   |text                       |YES        |                                         |
public      |users                        |ban_message                  |text                       |YES        |                                         |
public      |users                        |fcm_token                    |text                       |YES        |                                         |
public      |users                        |password_login_enabled       |boolean                    |NO         |true                                     |
public      |work_experience              |work_experience_id           |uuid                       |NO         |gen_random_uuid()                        |
public      |work_experience              |freelancer_id                |uuid                       |NO         |                                         |
public      |work_experience              |job_title                    |character varying          |NO         |                                         |
public      |work_experience              |company_name                 |character varying          |NO         |                                         |
public      |work_experience              |location                     |character varying          |YES        |                                         |
public      |work_experience              |start_date                   |date                       |NO         |                                         |
public      |work_experience              |end_date                     |date                       |YES        |                                         |
public      |work_experience              |is_current                   |boolean                    |YES        |false                                    |
public      |work_experience              |description                  |text                       |YES        |                                         |
public      |work_experience              |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |work_experience              |updated_at                   |timestamp without time zone|YES        |now()                                    |
